id,date,sender,text,clearedmsg
191,2018-03-14 17:08:30+08:00,PeerUser(user_id=322912295),free food at nanyang audi exhibition hall lvl 3   lots of food  ,-2
193,2018-03-14 17:10:10+08:00,NTUFreeFood,will be cleared by 6pm  :),-2
194,2018-03-14 18:09:47+08:00,PeerUser(user_id=236883116),hi guys   free food at the rooftop  the hive ^-^ please help yourselves  ,-2
195,2018-03-14 20:10:49+08:00,NTUFreeFood,free food over at lt22,-2
196,2018-03-14 20:11:01+08:00,PeerUser(user_id=212786095),"another buffet ,right round lt23",-2
197,2018-03-14 21:06:27+08:00,NTUFreeFood,"hi guys there's 50 packs of nasi lemak, fried oreos and ice cream at north hill area while stocks last   30more mins ",-2
198,2018-03-14 22:34:56+08:00,NTUFreeFood,supper at crespion function hall now ,-2
199,2018-03-14 22:44:11+08:00,NTUFreeFood,food has been moved to middle of crespion canteen near drinks stall  a lot of fried rice left,-2
200,2018-03-14 23:21:32+08:00,NTUFreeFood,all cleared ,199
201,2018-03-15 19:08:16+08:00,NTUFreeFood,cleared,-1
202,2018-03-15 19:51:44+08:00,NTUFreeFood,outside lt3. pao is char siew pao,-2
203,2018-03-16 21:26:34+08:00,PeerUser(user_id=351334898),"in front of eee, south spine. predicting excess food.   veggies, meat and rice/noodle.",-2
204,2018-03-17 19:22:51+08:00,PeerUser(user_id=244656355),outside lt2a,-2
205,2018-03-18 15:23:32+08:00,PeerUser(user_id=286566100),pasta mania food outside lt26  come fast   :),-2
206,2018-03-18 18:45:28+08:00,PeerUser(user_id=230764164),17 packets of caifan outside lt2a,-2
207,2018-03-18 19:03:22+08:00,NTUFreeFood,there's still 15 packets left ,-2
208,2018-03-19 15:34:59+08:00,NTUFreeFood,"hi all, vegetarian food at sac meeting room 1 ",-2
209,2018-03-19 22:16:04+08:00,NTUFreeFood,hi guys  free beehoon and dessert outside lhs tr+51 (level 2 hive),-2
210,2018-03-20 13:14:55+08:00,PeerUser(user_id=48628073),hi all  food outside lt8 to be cleared by 2pm,-2
212,2018-03-20 13:27:13+08:00,PeerUser(user_id=418524749),"hi food outside hss audi, to be cleared at 230pm",-2
213,2018-03-20 14:25:49+08:00,PeerUser(user_id=48628073),hi guys  free halfboil eggs and kaya toast at wkw level 1  to be cleared by 4pm :-),-2
215,2018-03-20 14:34:07+08:00,NTUFreeFood,hi guys  earthlink ntu is giving out free ice cream at canopy k at ns  just have to like their fb page and do a survey ,-2
216,2018-03-21 20:19:06+08:00,PeerUser(user_id=232547188),free food at hss foyer  will be cleared by 9 ,-2
217,2018-03-21 20:19:06+08:00,PeerUser(user_id=421083007),food at student services centre level 1. will clear at 830pm ,-2
218,2018-03-21 20:19:06+08:00,PeerUser(user_id=198487821),"food at sbs cr1, will be cleared by 845",-2
219,2018-03-21 22:20:11+08:00,PeerUser(user_id=259962887),"some fried rice & noodles at crescent hall cult room 1 (1 floor above canteen, beside the vending machine cafe)  😊 pls help yourselves  ",-2
220,2018-03-21 23:39:18+08:00,NTUFreeFood,cleared ,219
221,2018-03-22 14:26:11+08:00,PeerUser(user_id=37551554),spms beside printing room to be cleared by 3,-2
222,2018-03-22 20:34:38+08:00,PeerUser(user_id=211886716),food   hive tr+ 33. clearing by 9.10pm,-2
